"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0176"	"0"	"2"	"7"	"21"	"0"
"NLA06608-0177"	"0"	"0"	"6"	"86"	"0"
"NLA06608-0179"	"0"	"0"	"2"	"4"	"0"
"NLA06608-0180"	"0"	"1"	"2"	"4"	"0"
"NLA06608-0181"	"0"	"21"	"58"	"84"	"0"
"NLA06608-0183"	"0"	"1"	"7"	"49"	"0"
"NLA06608-0184"	"16"	"49"	"64"	"76"	"42"
"NLA06608-0185"	"1"	"4"	"55"	"764"	"0"
"NLA06608-0189"	"0"	"1"	"3"	"51"	"0"
"NLA06608-0190"	"0"	"0"	"4"	"14"	"0"
"NLA06608-0191"	"1"	"2"	"13"	"90"	"0"
"NLA06608-0193"	"1"	"2"	"2"	"8"	"0"
"NLA06608-0195"	"0"	"0"	"0"	"3"	"0"
"NLA06608-0196"	"0"	"0"	"5"	"115"	"0"
"NLA06608-0198"	"0"	"0"	"2"	"24"	"0"
"NLA06608-0201"	"0"	"6"	"103"	"208"	"5"
"NLA06608-0203"	"0"	"0"	"6"	"55"	"0"
"NLA06608-0204"	"0"	"0"	"1"	"4"	"0"
"NLA06608-0207"	"2"	"7"	"23"	"99"	"0"
"NLA06608-0208"	"0"	"2"	"14"	"25"	"0"
"NLA06608-0209"	"6"	"12"	"42"	"104"	"10"
"NLA06608-0211"	"0"	"0"	"7"	"30"	"0"
"NLA06608-0212"	"1"	"3"	"28"	"190"	"0"
"NLA06608-0215"	"0"	"2"	"4"	"43"	"0"
"NLA06608-0216"	"0"	"0"	"4"	"25"	"1"
"NLA06608-0217"	"3"	"24"	"66"	"125"	"0"
"NLA06608-0219"	"0"	"0"	"6"	"30"	"0"
"NLA06608-0220"	"0"	"0"	"3"	"5"	"4"
"NLA06608-0221"	"1"	"3"	"12"	"35"	"0"
"NLA06608-0222"	"0"	"4"	"8"	"24"	"12"
"NLA06608-0223"	"8"	"33"	"117"	"203"	"0"
"NLA06608-0224"	"0"	"0"	"6"	"22"	"0"
"NLA06608-0225"	"0"	"0"	"0"	"2"	"0"
"NLA06608-0226"	"2"	"7"	"21"	"134"	"0"
"NLA06608-0228"	"0"	"0"	"1"	"4"	"0"
"NLA06608-0229"	"6"	"16"	"65"	"119"	"0"
"NLA06608-0234"	"0"	"0"	"2"	"7"	"0"
"NLA06608-0235"	"0"	"0"	"2"	"30"	"0"
"NLA06608-0237"	"0"	"0"	"0"	"5"	"0"
