"NLAid"	"squareEighth"	"squareQuarter"	"squareHalf"	"squareOne"	"HUC8"
"NLA06608-0254"	1	9	22	35	0
"NLA06608-0255"	0	0	4	59	0
"NLA06608-0257"	0	2	5	39	6
"NLA06608-0259"	0	0	0	30	0
"NLA06608-0260"	3	5	5	35	6
"NLA06608-0268"	1	2	6	40	6
"NLA06608-0271"	0	0	7	103	0
"NLA06608-0275"	0	0	0	13	2
"NLA06608-0276"	0	15	62	195	45
"NLA06608-0277"	1	1	1	14	3
"NLA06608-0279"	3	17	45	160	0
"NLA06608-0280"	0	3	6	36	4
"NLA06608-0281"	0	7	46	103	0
"NLA06608-0283"	1	2	9	53	0
"NLA06608-0284"	0	0	6	14	4
"NLA06608-0285"	3	36	81	202	0
"NLA06608-0286"	0	9	19	114	0
"NLA06608-0290"	0	0	0	12	0
"NLA06608-0291"	8	17	54	304	0
"NLA06608-0293"	17	49	123	462	0
"NLA06608-0294"	0	1	3	27	0
"NLA06608-0295"	0	0	2	42	0
"NLA06608-0297"	1	1	15	56	0
"NLA06608-0299"	0	3	9	85	0
"NLA06608-0302"	0	2	15	49	0
"NLA06608-0303"	0	0	1	11	0
"NLA06608-0306"	0	0	1	2	0
"NLA06608-0312"	1	17	46	227	96
"NLA06608-0313"	0	3	13	56	0
"NLA06608-0318"	2	2	2	30	0
"NLA06608-0319"	0	1	6	74	0
"NLA06608-0324"	0	5	58	218	0
"NLA06608-0325"	5	20	36	84	0
"NLA06608-0326"	3	25	60	238	0
"NLA06608-0327"	0	4	14	44	0
"NLA06608-0328"	0	2	5	19	2
"NLA06608-0330"	2	2	2	4	0
"NLA06608-0332"	1	5	29	111	28
"NLA06608-0333"	31	118	380	998	0
"NLA06608-0334"	2	4	16	34	0
"NLA06608-0337"	0	0	8	53	12
"NLA06608-0339"	0	0	0	9	2
"NLA06608-0340"	0	1	7	30	5
"NLA06608-0341"	0	4	38	88	0
"NLA06608-0343"	0	9	20	38	0
"NLA06608-0344"	4	34	66	113	59
"NLA06608-0345"	0	1	14	68	0
"NLA06608-0350"	2	8	15	77	0
"NLA06608-0354"	3	14	61	239	0
"NLA06608-0356"	0	1	3	18	1
"NLA06608-0357"	0	10	63	289	0
"NLA06608-0358"	0	0	4	28	0
"NLA06608-0359"	0	2	7	46	0
"NLA06608-0361"	2	12	47	93	0
"NLA06608-0363"	0	3	12	88	0
"NLA06608-0366"	1	6	15	40	0
"NLA06608-0367"	0	0	8	33	0
"NLA06608-0369"	0	0	7	66	0
"NLA06608-0372"	10	35	63	121	45
"NLA06608-0373"	5	26	63	90	11
"NLA06608-0376"	0	2	3	32	0
"NLA06608-0377"	7	26	130	484	0
"NLA06608-0378"	0	1	1	14	4
"NLA06608-0384"	0	0	4	13	7
"NLA06608-0385"	0	0	0	11	1
"NLA06608-0386"	1	11	30	126	0
"NLA06608-0388"	1	3	14	137	0
"NLA06608-0393"	0	1	16	172	0
"NLA06608-0395"	1	8	49	109	0
"NLA06608-0399"	0	1	6	61	0
"NLA06608-0401"	0	0	5	6	0
"NLA06608-0402"	0	0	3	56	0
"NLA06608-0403"	0	2	4	23	0
"NLA06608-0405"	1	7	23	144	0
"NLA06608-0406"	2	5	27	109	2
"NLA06608-0407"	0	0	0	31	0
"NLA06608-0408"	0	0	5	27	1
"NLA06608-0413"	3	7	22	156	0
"NLA06608-0414"	3	11	26	82	0
"NLA06608-0418"	4	5	30	211	0
"NLA06608-0421"	0	2	28	95	0
"NLA06608-0425"	0	0	6	38	0
"NLA06608-0426"	0	0	2	34	0
"NLA06608-0432"	0	0	5	25	0
"NLA06608-0433"	0	0	1	13	0
"NLA06608-0435"	0	4	12	80	0
"NLA06608-0436"	1	3	17	40	0
"NLA06608-0439"	0	0	0	12	0
"NLA06608-0440"	0	0	2	37	1
"NLA06608-0442"	0	0	7	39	7
"NLA06608-0444"	0	0	4	44	0
"NLA06608-0445"	1	1	7	25	0
"NLA06608-0447"	1	8	43	151	0
"NLA06608-0449"	0	0	12	26	0
"NLA06608-0452"	26	72	105	301	32
"NLA06608-0453"	0	10	43	116	0
"NLA06608-0454"	3	12	74	163	0
"NLA06608-0456"	0	5	23	75	7
"NLA06608-0458"	2	5	30	87	0
"NLA06608-0459"	1	1	37	180	0
"NLA06608-0462"	0	5	42	96	0
"NLA06608-0463"	0	3	17	35	0
"NLA06608-0467"	4	11	81	206	0
"NLA06608-0468"	0	39	112	399	14
"NLA06608-0469"	5	11	44	318	0
"NLA06608-0470"	0	0	7	76	0
"NLA06608-0471"	0	1	5	52	0
"NLA06608-0472"	3	4	13	47	5
"NLA06608-0473"	0	5	19	91	0
"NLA06608-0479"	21	22	25	42	0
"NLA06608-0480"	4	12	25	119	0
"NLA06608-0483"	1	2	4	6	1
"NLA06608-0484"	0	0	3	41	0
"NLA06608-0488"	0	0	0	12	1
"NLA06608-0489"	0	0	11	259	0
"NLA06608-0491"	0	0	1	76	0
"NLA06608-0493"	2	18	96	259	0
"NLA06608-0494"	0	0	2	35	0
"NLA06608-0495"	10	23	96	267	92
"NLA06608-0496"	0	1	4	21	1
"NLA06608-0497"	7	9	20	58	15
"NLA06608-0498"	25	34	97	285	0
"NLA06608-0500"	0	1	2	43	2
"NLA06608-0501"	2	4	10	70	4
"NLA06608-0502"	2	3	11	43	0
"NLA06608-0503"	1	1	11	23	2
"NLA06608-0508"	0	2	25	122	0
"NLA06608-0509"	0	2	23	66	0
"NLA06608-0510"	2	6	16	35	0
"NLA06608-0511"	1	28	117	274	92
"NLA06608-0512"	0	0	5	18	0
"NLA06608-0514"	3	13	48	130	0
"NLA06608-0515"	0	0	0	22	0
"NLA06608-0523"	0	1	11	35	12
"NLA06608-0526"	0	1	1	3	0
"NLA06608-0528"	0	4	14	52	28
"NLA06608-0529"	2	5	31	109	25
"NLA06608-0530"	0	0	2	18	0
"NLA06608-0531"	0	0	0	11	2
"NLA06608-0533"	0	1	4	63	0
"NLA06608-0537"	0	0	20	111	0
"NLA06608-0540"	0	1	3	16	1
"NLA06608-0541"	50	78	162	299	0
"NLA06608-0542"	2	5	13	105	0
"NLA06608-0546"	10	39	107	199	0
"NLA06608-0547"	3	9	36	168	0
"NLA06608-0550"	2	14	58	83	0
"NLA06608-0551"	0	4	30	160	0
"NLA06608-0555"	0	3	35	67	0
"NLA06608-0558"	0	3	18	75	0
"NLA06608-0560"	0	1	1	2	1
"NLA06608-0561"	3	3	3	7	3
"NLA06608-0562"	1	8	71	211	0
"NLA06608-0564"	0	2	9	32	5
"NLA06608-0565"	8	11	27	67	14
"NLA06608-0569"	7	7	10	28	10
"NLA06608-0570"	0	0	8	27	9
"NLA06608-0579"	0	0	1	23	3
"NLA06608-0580"	4	19	79	252	0
"NLA06608-0581"	0	1	3	43	1
"NLA06608-0582"	21	49	140	324	0
"NLA06608-0583"	0	3	9	75	0
"NLA06608-0585"	20	34	43	103	35
"NLA06608-0587"	0	0	32	100	0
"NLA06608-0588"	0	1	2	67	1
